"eval_counter";"datetime";"start_id";"objective_value";"best_value";"is_best";"n_rep_obj";"beta_Cancer centre (CLCC)";"beta_General public hospital";"beta_Private for profit hospital";"beta_Private not-for-profit hospital";"beta_Rehabilitation hospital";"beta_University hospital";"inc_sim_Cancer centre (CLCC)";"inc_sim_General public hospital";"inc_sim_Private for profit hospital";"inc_sim_Private not-for-profit hospital";"inc_sim_Rehabilitation hospital";"inc_sim_University hospital";"sse_Cancer centre (CLCC)";"sse_General public hospital";"sse_Private for profit hospital";"sse_Private not-for-profit hospital";"sse_Rehabilitation hospital";"sse_University hospital"
43;"2026-07-01 01:11:55";3;2.09477567020808;1.53853118699356;FALSE;5;0.000965541761477109;0.000965541761477109;0.000965541761477109;0.000965541761477109;0.000965541761477109;0.000965541761477109;0.0437481773965485;0.0445088003451467;0.0424479450708035;0.0405696112009403;0.0365181063225144;0.0443928339154431;0.272906812205953;0.287222127406272;0.439303542984777;0.755952729018266;0.086367637535894;0.253022821056915
44;"2026-07-01 01:15:34";3;2.0975295435605;1.53853118699356;FALSE;5;0.000965541761477109;0.000364402238589298;0.000965541761477109;0.000965541761477109;0.000965541761477109;0.000965541761477109;0.0487056587847535;0.0181657322849172;0.0434796013041921;0.0487229888485133;0.0413691646652935;0.047099240557422;0.267751764328973;0.316152222713835;0.437937044258689;0.741841209795871;0.0835398762147306;0.250307426248398
45;"2026-07-01 01:19:12";3;2.11163193796779;1.53853118699356;FALSE;5;0.000881245673044708;0.0005093925720498;0.000881245673044708;0.000881245673044708;0.000881245673044708;0.000881245673044708;0.0484331465609683;0.0234248485078287;0.0407998006697301;0.0438424090313481;0.0414702069909003;0.0393834682154048;0.268033860050234;0.310265750781659;0.441491038844237;0.750272336593266;0.0834814773608119;0.258087474337585
46;"2026-07-01 01:22:57";3;2.09472145977096;1.53853118699356;FALSE;5;0.00109061085472129;0.00061774461345549;0.0010906108547213;0.0010906108547213;0.0010906108547213;0.000411604192326434;0.0602933524744009;0.0285639448335289;0.0507240095568325;0.0470202064850922;0.0437114983561222;0.0193057755562207;0.255893996092929;0.304567053238803;0.428401288854161;0.744777329121473;0.0821913408862123;0.27889045157738
47;"2026-07-01 01:26:40";3;2.04869338755751;1.53853118699356;FALSE;5;0.00139144909426316;0.000593165726701832;0.00139144909426316;0.00139144909426316;0.00139144909426316;0.000223864909099242;0.0626029555681999;0.0275417932570015;0.0614715958226747;0.0674678110790641;0.0531584614314951;0.0105451589936693;0.253562660285671;0.305696299757048;0.414447699360943;0.70990267077932;0.0768638802203601;0.288220177154165
48;"2026-07-01 01:30:25";3;2.04523310026163;1.53853118699356;FALSE;5;0.00139144909426316;0.000593165726701833;0.00139144909426316;0.00139144909426316;0.000525142655721959;0.000593165726701833;0.0696992951145732;0.027768811824505;0.0652969502007253;0.0631061548786987;0.0207885659090487;0.0271637924456733;0.246466293949125;0.305445315028991;0.409536989059122;0.717271584679027;0.09586036749967;0.27065255004569
49;"2026-07-01 01:34:11";3;1.92805004897173;1.53853118699356;FALSE;5;0.00200522717832921;0.000558118826956632;0.00200522717832923;0.00200522717832923;0.000322613311439694;0.000558118826956632;0.107129450654117;0.0259728378637346;0.0909609676108939;0.0959360780076298;0.0165529415829015;0.0265192981467428;0.210702630739573;0.307433706263736;0.377348215401362;0.662740825257142;0.0985011188799001;0.271323552430012
50;"2026-07-01 01:37:54";3;1.99932901044468;1.53853118699356;FALSE;5;0.000756786813182902;0.000558118826956632;0.00200522717832923;0.00200522717832923;0.000854815344190354;0.000558118826956632;0.0366158335388426;0.0240989138292969;0.0910043467916381;0.0884689453396473;0.0369932613340243;0.0267663887831109;0.280409624374998;0.309515276106562;0.377294922770906;0.674954403775669;0.0860885826688692;0.271066200747675
51;"2026-07-01 01:41:27";3;2.05835631127403;1.53853118699356;FALSE;5;0.000881245673044706;0.000584202895639321;0.00152454899987058;0.00152454899987058;0.000804309007900363;0.000584202895639321;0.0388683991904541;0.0282611048174517;0.0676059022629601;0.0676237166909373;0.0319711635479857;0.0276586336436962;0.278029063903844;0.304901405188011;0.406587089014771;0.709639976287702;0.0890608570871443;0.270137919792558
52;"2026-07-01 01:45:02";4;1.87945070969372;1.53853118699356;FALSE;5;0.000554903989522038;0.00222409828230388;0.000776957552535322;0.00289200413691963;0.00339137222270897;0.000283658302705337;0.0263085890948268;0.106283433965122;0.036311805580994;0.135217273015557;0.15439168543498;0.0141032088753837;0.291432001963726;0.224824339975661;0.447475258950568;0.600327063615435;0.0309795676918067;0.284412477496526
